Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Al Qala,26.1313185,50.553551,Snack & Chill,26.132648,50.555844,Snack Place
Al Qala,26.1313185,50.553551,غوري كرك,26.133502,50.558691,Cafeteria
Al Qala,26.1313185,50.553551,White Sugar,26.136708164921025,50.55636761537749,Café
Al Qala,26.1313185,50.553551,burger zone,26.133368786444464,50.55795189778768,Burger Joint
Al Qala,26.1313185,50.553551,Terminal Burger,26.134676079868825,50.55041642437816,Burger Joint
Al Qala,26.1313185,50.553551,مطعم محمد نور البخاري,26.130580120572127,50.55637885336958,Diner
Al Qala,26.1313185,50.553551,Crumbles,26.1366779391107,50.556696134788986,Bakery
Amwaj Islands,26.2947431,50.666445,Citrus Restaurant,26.292776,50.6638,Indian Restaurant
Amwaj Islands,26.2947431,50.666445,Starbucks (ستاربكس),26.28922016770056,50.664333306236756,Coffee Shop
Amwaj Islands,26.2947431,50.666445,Al Forno الفورنو,26.289418994851694,50.66453601981539,Italian Restaurant
Amwaj Islands,26.2947431,50.666445,Noodle Factory,26.289668348783916,50.66433463630098,Asian Restaurant
Amwaj Islands,26.2947431,50.666445,Pizza Exepress - Amwaj lagoon,26.289321899414062,50.66429901123047,Pizza Place
Amwaj Islands,26.2947431,50.666445,Chili's (تشيليز),26.289044735718097,50.66398256953418,American Restaurant
Amwaj Islands,26.2947431,50.666445,Hong kong,26.289463,50.664829,Asian Restaurant
Amwaj Islands,26.2947431,50.666445,Flamingo Restaurant & Cafè,26.28954933312607,50.66461673090729,Café
Amwaj Islands,26.2947431,50.666445,Mahi Mahi Restaurant,26.289077344073895,50.664548957165515,Restaurant
Amwaj Islands,26.2947431,50.666445,Burger King Lagoon Amwaj,26.28917,50.663932,Fast Food Restaurant
Amwaj Islands,26.2947431,50.666445,DQ Grill & Chill,26.297505224048937,50.662426401766496,American Restaurant
Amwaj Islands,26.2947431,50.666445,GREAT STEAK,26.288817937266106,50.66430579681563,Deli / Bodega
Amwaj Islands,26.2947431,50.666445,Papa John's Amwaj lagon,26.289142,50.663964,Pizza Place
Amwaj Islands,26.2947431,50.666445,Chilli's - Amwaj,26.28903174079146,50.66407276903215,American Restaurant
Amwaj Islands,26.2947431,50.666445,Lemon Shisha Bistro,26.290246364120755,50.66430579681563,Café
Amwaj Islands,26.2947431,50.666445,Yara Cafe,26.289138,50.664262,Café
Amwaj Islands,26.2947431,50.666445,The Grove Cafe,26.291121,50.662789,Café
Amwaj Islands,26.2947431,50.666445,sadaf cafe,26.290299587909477,50.66396768437007,Café
Amwaj Islands,26.2947431,50.666445,Q8 Cafe Degol,26.289986,50.664017,Café
Amwaj Islands,26.2947431,50.666445,Degool Cafe,26.289954157288875,50.664017297007476,Café
Amwaj Islands,26.2947431,50.666445,Tuga bakery,26.288804588710875,50.664245006875554,Portuguese Restaurant
Amwaj Islands,26.2947431,50.666445,SECOND CUP (سكند كب),26.28928002194339,50.664163790343366,Café
